Name	Anrede	Titel	Vorname	Institut	Lehrstuhl	Gebäude	PLZ / Straße	Ort
Abeck	Herrn Professor	Dr.rer.nat.	Sebastian	Institut für Telematik	Forschungsgruppe Cooperation & Management 	Geb. 20.20		– Hauspost –
Asfour	Herrn Professor	Dr.-Ing.	Tamim	Institut für Anthropomatik und Robotik	Hochperformante Humanoide Technologien (H²T)	Geb. 50.20		– Hauspost –
Bäcker	Herrn Professor	Dr. iur. LL.M.	Matthias	Institut für Informations- und Wirtschaftsrecht	Zentrum für Angewandte Rechtswissenschaft	Geb. 07.08	Vincenz-Prießnitz-Str. 3	– Hauspost –
Beckert	Herrn Professor	Dr.rer.nat.	Bernhard	Institut für Theoretische Informatik 	Anwendungsorientierte Formale Verifikation	Geb. 50.34		– Hauspost –
Beigl	Herrn Professor	Dr.	Michael	Institut für Telematik	Lehrstuhl für Pervasive Computing Systems	Geb.07.07	Vincenz-Prießnitz-Str. 1	– Hauspost –
Bellosa	Herrn Professor	Dr.-Ing.	Frank	Institut für Technische Informatik	Lehrstuhl Systemarchitektur	Geb. 50.34		– Hauspost –
Beyerer	Herrn Professor	Dr.-Ing.	Jürgen	Institut für Anthropomatik und Robotik	Lehrstuhl für Interaktive Echtzeitsysteme	Geb. 50.21		– Hauspost –
Bless	Herrn PD	Dr.-Ing.	Roland	Institut für Telematik	Lehrstuhl Prof. Zitterbart	Geb. 20.20		– Hauspost –
Böhm	Herrn Professor	Dr.-Ing.	Klemens	Institut für Programmstrukturen und Datenorganisation 	Lehrstuhl für Systeme der Informationsverwaltung	Geb. 50.34		– Hauspost –
Dachsbacher	Herrn Professor	Dr.-Ing.	Carsten	Institut für Visualisierung und Datenanalyse	Lehrstuhl für Computergraphik	Geb. 50.34		– Hauspost –
Dillmann	Herrn Professor	Dr.-Ing.	Rüdiger	Institut für Anthropomatik und Robotik	Humanoids and Intelligence Systems Laboratories	Geb. 50.20		– Hauspost –
Dreier M.C.J.	Herrn Professor	Dr. iur.	Thomas	Institut für Informations- und Wirtschaftsrecht	Zentrum für Angewandte Rechtswissenschaft	Geb. 07.08	Vincenz-Prießnitz-Str. 3	– Hauspost –
Hagenmeyer	Herrn Professor	Dr.	Veit	Steinbuch Centre for Computing 		Geb. 449 R. 334	Campus Nord	– Hauspost –
Hanebeck	Herrn Professor	Dr.-Ing.	Uwe D. 	Institut für Anthropomatik und Robotik	Lehrstuhl für Intelligente Sensor-Aktor-Systeme (ISAS)	Geb. 50.20		– Hauspost –
Hartenstein	Herrn Professor	Dr.rer.nat.	Hannes	Institut für Telematik	Forschungsbereich DSN	Geb. 20.21	Zirkel 2	– Hauspost –
Hein	Herrn Professor	Dr.-Ing. habil. 	Björn	Institut für Anthropomatik und Robotik	Intelligente Prozessautomation und Robotik (IPR)	Geb. 40.28		– Hauspost –
